dataset,algorithm,k,coreset_size,coreset_size_factor,running_time,real_cost,coreset_cost,distortion,real_cost_synthetic,coreset_cost_synthetic,distortion_synthetic,real_cost_synthetic2,coreset_cost_synthetic2,distortion_synthetic2
NYTimes,Ray Maker,20,2000,100,88.0,274975605.8132713,19483927.0056793,14.112945800562672,287460642.76841956,27795204.005469665,10.342095086326827,277034343.88652253,22859006.259675406,12.119264535800358
NYTimes,Ray Maker,20,2000,100,73.0,275962790.92226,18902240.631740756,14.599475072752043,288180281.17359626,27124113.90153344,10.62450490437235,278461943.33321214,22814700.712883472,12.205373493063819
NYTimes,Ray Maker,20,2000,100,75.0,274402481.20132077,19606258.580014735,13.995657564214097,287322747.74451977,28283026.874741096,10.158840106365028,278469248.3756163,22936641.42695466,12.140803145152939
NYTimes,Ray Maker,20,2000,100,72.0,275138790.5540122,17434609.0736192,15.781184963322891,288730731.090834,27165985.502298836,10.628391562176203,277401448.4507339,21796991.70704496,12.72659329227875
NYTimes,Ray Maker,20,2000,100,78.0,275252073.53374225,20120169.292363584,13.680405444610821,286927371.70982367,28076628.980454423,10.219438092427994,277643374.7369733,23999237.55633428,11.568841471953053
NYTimes,Ray Maker,20,2000,100,77.0,274356840.51011753,17565467.786242776,15.619102425782991,287238206.61581147,26359587.301557764,10.89691592397718,276518710.8522657,21304117.153945982,12.979590229161337
NYTimes,Ray Maker,20,2000,100,69.0,275243224.2656909,18028578.22109879,15.267051061385118,287856261.9101459,28353358.52217554,10.152457307130287,278159787.9619647,22144460.141276956,12.561145595212722
NYTimes,Ray Maker,20,2000,100,75.0,275155169.0440995,20616578.836061742,13.346305962403834,287903668.94965655,28365423.7093162,10.149810272536097,277946101.6598603,23873473.556882072,11.64246589410681
NYTimes,Ray Maker,20,2000,100,70.0,274767936.5429595,18173027.382026028,15.119546719811682,286795408.67431355,26149791.729649916,10.96740699273451,276375354.5575504,20604554.523148462,13.413313752891517
NYTimes,Ray Maker,20,2000,100,73.0,274361291.5097492,19511242.759265635,14.06170252171449,287616084.32844347,27231131.394763343,10.562032115336685,277358445.6771051,23217627.831021134,11.94602858206409
NYTimes,StreamKM++,50,10000,200,6507.0,259502759.2828905,158769715.3647041,1.6344600649235668,286462951.8686432,185814209.82116958,1.5416633213592197,267400271.33931878,168465053.37911984,1.587274428587581
NYTimes,StreamKM++,50,10000,200,6482.0,260146830.6620576,160644086.77546906,1.6193987334601536,286468371.0084069,186863335.0731558,1.5330368094749907,267012294.73721665,169741106.97846925,1.5730561647102121
NYTimes,StreamKM++,50,10000,200,6856.0,260908771.0104992,157560217.1075448,1.6559305121572185,286278508.4757924,185237265.618565,1.545469306728423,267873322.55793205,168122671.86552727,1.5933206365658417
NYTimes,StreamKM++,50,10000,200,7112.0,261504727.88952243,162123354.07819077,1.6129985058377267,287404082.99772084,190268980.3232611,1.5105146540935375,267788184.53761092,172293729.00661018,1.5542538087810325
NYTimes,StreamKM++,50,10000,200,6379.0,259935063.33814248,160864818.8133806,1.6158602313144266,287616960.02859855,189146834.17945978,1.5206015013484802,267584776.0053453,171168610.35260338,1.5632818158313424
NYTimes,StreamKM++,50,10000,200,6793.0,262157555.47450408,159584530.77512494,1.6427504232469605,286824633.31007916,187128780.9689803,1.5327660011723427,267947092.5414403,168928815.48266014,1.5861538588065456
NYTimes,StreamKM++,50,10000,200,6509.0,260374543.09265095,162835591.18798435,1.5990026577915848,287461999.1246087,190503302.51798108,1.5089607126232152,268629800.5730652,173457333.5525551,1.5486794076174024
NYTimes,StreamKM++,50,10000,200,5655.0,262925991.18123272,161027906.86190963,1.6327976703237306,287081531.86721975,188112057.24656028,1.5261197823749237,269845791.99579495,171646618.75035766,1.5721008311166205
NYTimes,StreamKM++,50,10000,200,7019.0,259509533.82359937,155907640.86560923,1.664508117644432,287677095.73514163,184950247.8084285,1.5554296311790705,267599246.96704572,167040559.0834687,1.6020016242482087
NYTimes,StreamKM++,50,10000,200,5323.0,260600187.3890655,160764919.0067622,1.6210015779506222,286051361.1426495,186867965.6679586,1.5307672458474106,268030372.1179141,170883528.6187306,1.568497410396611
NYTimes,BICO,10,5000,500,74.0,280057693.341849,26173692.423709966,10.699968839251474,288470831.2857045,31106171.251007542,9.273749217090188,281794141.91032344,27341787.637632903,10.306353982592762
NYTimes,BICO,10,5000,500,115.0,281231811.76927185,39674995.07478004,7.088389330337706,290976618.91570485,45190318.35801572,6.438915004104906,282935137.76739734,40668585.480609074,6.957093157378238
NYTimes,BICO,10,5000,500,123.0,280890117.40093446,38259407.8952581,7.341726724311073,287279511.5765815,42003879.787808694,6.839356579150152,281729105.6885302,39283548.264944926,7.171681737821378
NYTimes,BICO,10,5000,500,90.0,280796763.61312586,34407531.65375726,8.160909839124226,288385449.775849,37523416.414813325,7.685479557293228,291684013.81360966,45652651.49716315,6.389202034228721
NYTimes,BICO,10,5000,500,82.0,280112644.11091983,29610605.32405187,9.459875644061627,288130670.58302146,33400021.57682815,8.626661210989072,281827082.8130211,31057886.898677338,9.074251694342518
NYTimes,BICO,10,5000,500,101.0,280898824.2671964,32634039.25239452,8.607540797959464,289566564.76940125,37045855.73789829,7.816436116852112,283279525.9087972,34570698.42665596,8.194208934187245
NYTimes,BICO,10,5000,500,151.0,281291234.4618688,41519637.63254939,6.774896181688977,289616629.7982809,46596609.0950229,6.215401408451749,282062967.97832286,42702203.45598897,6.605349259530157
NYTimes,BICO,10,5000,500,105.0,281205138.01024324,39011212.80359795,7.208315707229386,292840422.9273114,47075925.75907993,6.220598282569702,281872705.7622692,40017412.171015896,7.043751468927469
NYTimes,BICO,10,5000,500,135.0,281166252.8695145,38979861.90099876,7.213115674540406,288191296.57930446,42664887.304963075,6.754765212886899,283561247.5752946,40516584.84580498,6.998646323584552
NYTimes,BICO,10,5000,500,97.0,280641260.02050185,33593508.69909261,8.354032397576923,288313752.41646284,36851505.73993525,7.823662741249211,281851096.10218847,34539074.54630207,8.160354607195602
NYTimes,Sensitivity Sampling,20,10000,500,73.0,271029016.6457027,268776009.0523606,1.0083824728303903,321777496.5012925,322759651.9040842,1.003052281198874,275687509.91188675,274775381.1100841,1.0033195433962012
NYTimes,Sensitivity Sampling,20,10000,500,75.0,270596976.7792192,267727126.38659456,1.010719311230647,287638095.64882857,287187755.66814333,1.0015681029981154,275795598.8909876,273975981.6213122,1.006641521124981
NYTimes,Sensitivity Sampling,20,10000,500,91.0,271173142.4072009,269512193.108661,1.0061627983483115,418506204.1611408,422409506.20299685,1.009326748332632,276379172.6045676,275878546.44183505,1.0018146614486316
NYTimes,Sensitivity Sampling,20,10000,500,83.0,270102007.8358144,269594109.0664529,1.0018839386777414,328730745.29204535,331819457.12448394,1.009395871474372,276898943.3127573,277990584.4562697,1.0039423810378336
NYTimes,Sensitivity Sampling,20,10000,500,78.0,271319602.9501141,268544307.1354523,1.0103345918752318,287646647.02783626,286849085.9784045,1.0027804203967092,274947749.1178245,273489120.6427735,1.0053334058467218
NYTimes,Sensitivity Sampling,20,10000,500,78.0,270461877.18834615,267336637.65184537,1.0116902777110963,287458513.46190053,286958405.1797975,1.0017427901503346,274941528.23434705,273138196.4036583,1.006602268940898
NYTimes,Sensitivity Sampling,20,10000,500,85.0,270126302.8775262,268261962.28856647,1.0069497016015796,292192623.5078577,292774214.3188852,1.0019904363226058,274738711.13335454,274160919.44612414,1.0021074910618104
NYTimes,Sensitivity Sampling,20,10000,500,75.0,270169327.06887245,268206024.13227415,1.0073201298999535,318468402.7115289,319605877.33689004,1.0035717032386144,275759717.0753109,275091538.00380266,1.0024289335701013
NYTimes,Sensitivity Sampling,20,10000,500,72.0,270982862.47098047,268911607.93135303,1.0077023619603516,302045671.321372,302688889.26926297,1.002129538705445,276092974.1893385,275187578.87520134,1.0032901024015615
NYTimes,Sensitivity Sampling,20,10000,500,94.0,270957711.62326413,269015648.5480096,1.0072191453758794,295809526.7365858,296200150.25340724,1.0013205237881648,276698214.4005598,275863310.8577311,1.003026511717824
NYTimes,Group Sampling,20,2000,100,82.0,274697600.1556873,258528057.39796993,1.0625446341122908,289039916.1187296,280543650.2268782,1.0302850051497525,277304626.2350889,264974604.66530955,1.0465328425920417
NYTimes,Group Sampling,20,2000,100,81.0,275764700.12721455,261953584.13011068,1.0527235236844248,292027378.2357288,285691134.1253464,1.0221786515349207,279763582.6414579,269399389.3638859,1.0384714802139838
NYTimes,Group Sampling,20,2000,100,77.0,275971399.151606,263717505.48751032,1.0464659850374478,287063091.1238829,283165071.33674,1.0137658919892254,278072035.0688688,270205201.03900874,1.0291142953563073
NYTimes,Group Sampling,20,2000,100,91.0,276145773.169239,264244587.76475507,1.0450385209595248,288095386.4498122,284170360.0340232,1.0138122301541899,278064423.31591886,269511998.6340257,1.031733001592655
NYTimes,Group Sampling,20,2000,100,74.0,274597533.6918684,261983573.28704482,1.0481479057887457,290076332.02768964,285466106.31156206,1.0161498181892596,276798418.8985015,267907887.37139747,1.0331850309236295
NYTimes,Group Sampling,20,2000,100,88.0,276823772.63010865,263042705.64800763,1.0523909870382122,288539492.13333213,282453133.96386576,1.0215482054812144,280098482.21694845,270303318.9148576,1.0362376730756169
NYTimes,Group Sampling,20,2000,100,90.0,276183428.3762637,262213661.8743863,1.0532762724947933,287209193.88479096,281535012.0738287,1.0201544446254318,278089217.2620257,268032580.9168786,1.0375202011290778
NYTimes,Group Sampling,20,2000,100,91.0,275482049.7710664,261062694.1482923,1.0552333058149759,286084298.85640514,280326904.5123195,1.0205381440432972,278603261.16885924,268342795.6511963,1.0382364113512477
NYTimes,Group Sampling,20,2000,100,93.0,276090279.3362628,261891261.14461875,1.0542172279043829,286280412.46316034,280499886.33623683,1.0206079446320857,279012890.4383009,268901372.41492784,1.0376030733222532
NYTimes,Group Sampling,20,2000,100,85.0,275919081.6976885,262042919.30483907,1.052953777303584,290067147.2714785,284372027.7984067,1.0200270030676473,280392897.2237819,270063359.8840492,1.0382485700547
NYTimes,Group Sampling,10,1000,100,51.0,281963082.8999962,267151337.3464362,1.0554432768358275,287211462.62206054,280537936.75346744,1.023788318777213,284355292.82082015,273536505.03871274,1.0395515318168456
NYTimes,Group Sampling,10,1000,100,52.0,281860923.4065001,266798916.19993252,1.0564545292053604,288261546.6394309,281355508.6261266,1.0245455937473087,283427867.8530637,272401554.078192,1.0404781603107398
NYTimes,Group Sampling,10,1000,100,53.0,281420012.6933958,265029881.70529428,1.061842577458216,289785199.8931218,281286872.9209144,1.0302123127324065,281786638.99780977,268252609.6498712,1.0504525542756264
NYTimes,Group Sampling,10,1000,100,57.0,281850307.6849281,268435150.16885123,1.049975413084458,288299530.9566337,283006127.61255085,1.0187042004663933,284059299.8915349,274152423.78676474,1.0361363797843923
